WEAP_name,SWITCH_name,load_zone_name,gen_tech,capacity_limit_mw,capacity_weight,RoR_or_Reservoir,not_generating_in_WEAP,EIA_plant_id,River,Notes
Alamo,NA,NA,NA,NA,NA,NA,1,NA,SWP East Branch,NA
Albeni Falls,Albeni Falls,WA_ID_AVA,Hydro_NonPumped,42,1,Reservoir,0,851,Clark Fork and Pend Oreille,
Alcova,Alcova,WY_SE,Hydro_NonPumped,41.4,1,RoR,0,6409,North Fork Platte River,
Alder,Alder,WA_W,Hydro_NonPumped,50,1,Reservoir,0,3913,Nisqually River,
All American Hydro,NA,NA,NA,NA,NA,NA,1,NA,All American Canal CA,NA
American Falls,American Falls,ID_E,Hydro_NonPumped,92.4,1,Reservoir,0,809,Snake River,
Anderson Ranch,Anderson Ranch,ID_S_OR_E,Hydro_NonPumped,40,1,Reservoir,0,6395,Boise River,
Arrow Lakes CAN,NA,NA,NA,NA,NA,NA,0,NA,Columbia Headwaters,"Canadian generator, don't have data from EIA"
Balch 1,Balch 1,CA_PGE_CEN,Hydro_NonPumped,31,1,RoR,0,217,North Fork Kings River,
Balch 2,Balch 2,CA_PGE_CEN,Hydro_NonPumped,97.2,1,RoR,0,218,North Fork Kings River,
Belden,Belden,CA_PGE_N,Hydro_NonPumped,117.9,1,RoR,0,219,Feather River,
Big Creek 1,Big Creek 1,CA_PGE_CEN,Hydro_NonPumped,88.4,1,RoR,0,317,Big Creek River,
Big Creek 2,Big Creek 2,CA_PGE_CEN,Hydro_NonPumped,66.6,1,RoR,0,318,Big Creek River,
Big Creek 2a,Big Creek 2A,CA_PGE_CEN,Hydro_NonPumped,110,1,RoR,0,322,Big Creek River,
Big Creek 3,Big Creek 3,CA_PGE_CEN,Hydro_NonPumped,174.5,1,RoR,0,319,San Joaquin River,
Big Creek 4,Big Creek 4,CA_PGE_CEN,Hydro_NonPumped,100,1,Reservoir,0,320,San Joaquin River,
Big Creek 8,Big Creek 8,CA_PGE_CEN,Hydro_NonPumped,75,1,RoR,0,321,Big Creek River,
Bliss,Bliss,ID_S_OR_E,Hydro_NonPumped,75,1,RoR,0,810,Snake River,
Blue Mesa,Blue Mesa,CO_SW,Hydro_NonPumped,86.4,1,Reservoir,0,512,Gunnison River,
Bonneville,Bonneville,OR_PDX,Hydro_NonPumped,1162,1,RoR,0,3075,Columbia River,
